player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
24630,/player/24630/jose-manuel-reina-paez/240002,24,2,2023-09-22,Pepe Reina,José Manuel Reina Páez,GK,77,77,1200000,14000,40,1982-08-31,188,92,483,Villarreal,53,La Liga,1,SUB,1,NA,2022-07-08,2024,45,Spain,NA,NA,NA,Right,3,1,3,Medium/Medium,Unique,Yes,2500000,NA,Far Throw,NA,NA,NA,NA,NA,NA,11,14,13,37,11,10,11,11,39,23,43,49,50,72,60,59,66,34,70,15,32,22,13,65,24,64,20,22,24,75,77,79,79,76,45,30+3,30+3,30+3,29,32,32,32,29,34+3,34+3,34+3,31+3,35+3,35+3,35+3,31+3,30+3,34+3,34+3,34+3,30+3,30+3,32+3,32+3,32+3,30+3,76+1
49472,/player/49472/ludovic-butelle/240002,24,2,2023-09-22,L. Butelle,Ludovic Butelle,GK,68,68,130000,4000,40,1983-04-03,188,84,379,Stade de Reims,16,Ligue 1,1,SUB,1,NA,2023-07-04,2024,18,France,NA,NA,NA,Left,3,1,1,Medium/Medium,Normal (185+),No,260000,NA,Far Throw,NA,NA,NA,NA,NA,NA,11,11,13,31,12,11,10,15,23,23,31,33,36,59,28,47,60,28,70,12,35,18,15,39,22,59,11,11,11,66,69,62,69,67,32,26+2,26+2,26+2,23,26,26,26,23,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,22+2,26+2,26+2,26+2,22+2,22+2,25+2,25+2,25+2,22+2,67+1
106795,/player/106795/gianluca-pegolo/240002,24,2,2023-09-22,G. Pegolo,Gianluca Pegolo,GK,69,69,150000,4000,42,1981-03-25,184,76,111974,Sassuolo,31,Serie A,1,SUB,25,NA,2013-09-02,2024,27,Italy,NA,NA,NA,Left,2,1,1,Medium/Medium,Normal (170-185),No,255000,NA,Far Throw,NA,NA,NA,NA,NA,NA,13,18,15,35,16,11,11,18,21,20,44,42,50,69,47,45,57,33,54,12,33,20,12,33,13,55,8,12,11,66,68,60,70,69,43,28+2,28+2,28+2,26,27,27,27,26,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,25+2,26+2,26+2,26+2,25+2,25+2,25+2,25+2,25+2,25+2,68+1
118794,/player/118794/andy-lonergan/240002,24,2,2023-09-22,A. Lonergan,Andrew Lonergan,GK,58,58,25000,3000,39,1983-10-19,192,87,7,Everton,13,Premier League,1,RES,31,NA,2021-08-20,2024,14,England,NA,NA,NA,Left,1,1,1,Medium/Medium,Normal (185+),No,48000,NA,NA,NA,NA,NA,NA,NA,NA,12,14,15,29,15,11,12,14,27,24,40,41,50,50,42,35,55,28,56,13,28,12,8,32,16,30,14,15,14,56,61,47,62,54,40,24+2,24+2,24+2,24,24,24,24,24,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,23+2,25+2,25+2,25+2,23+2,23+2,24+2,24+2,24+2,23+2,57+1
138412,/player/138412/james-milner/240002,24,2,2023-09-22,J. Milner,James Philip Milner,"CM, RB",77,77,3300000,52000,37,1986-01-04,175,70,1808,Brighton & Hove Albion,13,Premier League,1,SUB,6,NA,2023-07-01,2024,14,England,NA,NA,NA,Right,4,3,2,Medium/High,Stocky (170-185),Yes,6300000,NA,NA,53,70,79,76,76,75,82,62,65,79,76,76,81,75,78,79,54,52,62,83,72,82,67,77,70,70,86,78,71,76,89,80,77,78,78,12,9,10,8,6,NA,71+2,71+2,71+2,72,73,73,73,72,74+2,74+2,74+2,74+2,77,77,77,74+2,76+1,78-1,78-1,78-1,76+1,75+2,76+1,76+1,76+1,75+2,17+2
140233,/player/140233/guillermo-ochoa/240002,24,2,2023-09-22,G. Ochoa,Francisco Guillermo Ochoa Magaña,GK,81,81,2900000,21000,37,1985-07-13,185,78,110373,Salernitana,31,Serie A,1,GK,13,NA,2023-01-02,2025,83,Mexico,1386,GK,13,Right,3,1,1,Medium/Medium,Lean (170-185),Yes,5200000,NA,"Far Throw, Footwork",NA,NA,NA,NA,NA,NA,15,12,19,37,16,10,14,17,37,20,50,50,57,70,43,53,68,38,60,11,19,23,16,50,16,60,21,10,13,83,73,70,82,86,50,30+2,30+2,30+2,28,30,30,30,28,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,28+2,30+2,30+2,30+2,28+2,28+2,27+2,27+2,27+2,28+2,79+2
140293,/player/140293/antonio-mirante/240002,24,2,2023-09-22,A. Mirante,Antonio Mirante,GK,71,71,210000,14000,39,1983-07-08,193,79,47,Milan,31,Serie A,1,SUB,83,NA,2021-10-13,2024,27,Italy,NA,NA,NA,Right,2,1,2,Medium/Medium,Lean (185+),Yes,357000,NA,Footwork,NA,NA,NA,NA,NA,NA,10,17,13,35,15,24,17,13,35,25,44,43,50,70,50,49,59,33,55,15,32,17,10,43,21,70,10,12,12,67,71,65,75,70,44,30+2,30+2,30+2,29,31,31,31,29,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,26+2,29+2,29+2,29+2,26+2,25+2,25+2,25+2,25+2,25+2,70+1
146439,/player/146439/alvaro-negredo-sanchez/240002,24,2,2023-09-22,Negredo,Álvaro Negredo Sánchez,ST,75,75,1900000,22000,37,1985-08-20,186,86,1968,Cádiz,53,La Liga,1,SUB,9,NA,2020-08-04,2024,45,Spain,NA,NA,NA,Left,2,3,3,Medium/Low,Stocky (185+),Yes,4000000,NA,"Power Header, Long Ball Pass",50,79,64,70,36,75,43,78,82,73,78,69,63,69,64,72,51,49,64,75,64,83,84,52,85,77,77,28,78,67,77,70,33,31,30,11,6,11,7,13,NA,75,75,75,67,72,72,72,67,70+3,70+3,70+3,65+3,66+3,66+3,66+3,65+3,49+3,54+3,54+3,54+3,49+3,47+3,52+3,52+3,52+3,47+3,17+3
146536,/player/146536/jesus-navas-gonzalez/240002,24,2,2023-09-22,Jesús Navas,Jesús Navas González,"RB, RM",80,80,4700000,22000,37,1985-11-21,172,60,481,Sevilla,53,La Liga,1,RB,16,NA,2017-07-28,2024,45,Spain,NA,NA,NA,Right,2,4,3,High/Medium,Lean (170-),Yes,9900000,NA,"Whipped Cross, Rapid",82,68,79,80,76,55,85,63,72,81,75,80,82,50,76,81,83,81,81,76,82,74,68,78,35,70,75,77,77,80,56,79,76,76,75,10,10,15,7,13,NA,73+3,73+3,73+3,78,77,77,77,78,78+2,78+2,78+2,79+1,78+2,78+2,78+2,79+1,79+1,76+3,76+3,76+3,79+1,78+2,72+3,72+3,72+3,78+2,18+3
146947,/player/146947/mikel-vesga-arruti/240002,24,2,2023-09-22,Vesga,Mikel Vesga Arruti,CM,78,78,13500000,29000,30,1993-04-08,191,84,448,Athletic Club,53,La Liga,1,LCM,6,NA,2016-07-01,2024,45,Spain,NA,NA,NA,Left,3,3,1,Medium/High,Normal (185+),Yes,28400000,#Strength,"Long Ball Pass, Bruiser",47,78,74,67,77,81,63,83,70,80,55,68,60,53,80,74,37,55,47,82,38,78,71,83,87,72,66,80,72,80,78,68,77,80,72,12,11,16,6,13,NA,74+2,74+2,74+2,70,73,73,73,70,73+2,73+2,73+2,71+2,78,78,78,71+2,73+2,79-1,79-1,79-1,73+2,73+2,77+1,77+1,77+1,73+2,19+2
